word1	word2	word1(sense)	word2(sense)	POS	mean	sd	type
가로획	세로획	가로획001	세로획001	명사	4.12	1	반대말
가름도움줄기	두루도움줄기	가름도움줄기001	두루도움줄기001	명사	3.53	1.23	반대말
가름씨끝	두루씨끝	가름씨끝001	두루씨끝001	명사	3.44	1.29	반대말
가명	실명	가명005	실명005	명사	3.9	1.16	반대말
가모	가부	가모001	가부006	명사	3.75	1.2	반대말
가모장	가부장	가모장001	가부장001	명사	3.88	1.19	반대말
가벼운색	무거운색	가벼운색001	무거운색001	명사	3.9	1.07	반대말
가변	불변	가변001	불변002	명사	4	1.11	반대말
가변어	불변어	가변어001	불변어001	명사	4.01	1.07	반대말
가변형	고정형	가변형001	고정형001	명사	3.95	1.07	반대말
가볍다	무겁다	가볍다001	무겁다001	형용사	4.18	1	반대말
가볍다	무겁다	가볍다002	무겁다002	형용사	4.3	0.91	반대말
가볍다	무겁다	가볍다003	무겁다003	형용사	4.23	0.95	반대말
가볍다	무겁다	가볍다006	무겁다005	형용사	4.17	1.02	반대말
가볍다	무겁다	가볍다015	무겁다010	형용사	4.23	1.01	반대말
가분물	불가분물	가분물001	불가분물001	명사	3.85	1.04	반대말
가산	감산	가산001	감산005	명사	4.06	1.02	반대말
가산	감산	가산002	감산006	명사	4.02	1.09	반대말
가산	뺄셈	가산002	뺄셈001	명사	3.65	1.25	반대말
가산법	감산법	가산법001	감산법001	명사	4.06	1.04	반대말
가속	감속	가속001	감속001	명사	4.05	1.14	반대말
가속하다	감속하다	가속하다001	감속하다001	동사	4.26	0.95	반대말
가수	더하임수	가수003	더하임수001	명사	3.71	1.19	반대말
가수	더해질수	가수003	더해질수001	명사	3.36	1.24	반대말
가수	피가수	가수003	피가수001	명사	3.81	1.2	반대말
가수하다	감수하다	가수하다002	감수하다006	동사	3.96	1.15	반대말
가습제	제습제	가습제001	제습제001	명사	3.98	1.14	반대말
가시광선	비가시광선	가시광선001	비가시광선001	명사	4.02	1.15	반대말
가시선	비가시광선	가시선001	비가시광선001	명사	3.89	1.07	반대말
가심	실심	가심002	실심003	명사	3.83	1.09	반대말
가압하다	감압하다	가압하다001	감압하다001	동사	3.78	1.07	반대말
가약	기약	가약001	기약004	명사	3.64	1.19	반대말
가역	불가역	가역001	불가역001	명사	4.09	1.05	반대말
가역	비가역	가역001	비가역001	명사	3.99	1.03	반대말
가역성	비가역성	가역성001	비가역성001	명사	4.01	1.09	반대말
가연성	불연성	가연성001	불연성001	명사	4.09	1.1	반대말
가용성	난용성	가용성001	난용성001	명사	3.84	1.14	반대말
가용성	불용성	가용성001	불용성001	명사	4.09	1.04	반대말
가의	악기	가의004	악기003	명사	3.7	1.17	반대말
가의	악심	가의004	악심001	명사	3.78	1.16	반대말
가입하다	탈퇴하다	가입하다001	탈퇴하다001	동사	4.21	1.04	반대말
가자	가부	가자010	가부006	명사	3.56	1.31	반대말
가작	졸작	가작001	졸작001	명사	3.65	1.25	반대말
가작	태작	가작001	태작002	명사	3.61	1.2	반대말
가전	가후금군	가전011	가후금군001	명사	3.48	1.18	반대말
가전기	가후기	가전기001	가후기001	명사	3.83	1.15	반대말
가전패두기	가후패두기	가전패두기001	가후패두기001	명사	3.67	1.17	반대말
가정	관정	가정003	관정006	명사	3.56	1.18	반대말
가중되다	경감되다	가중되다001	경감되다001	동사	4.19	1	반대말
가중하다	경감하다	가중하다001	경감하다002	동사	4.05	1.08	반대말
가지	불가지	가지016	불가지001	명사	3.72	1.18	반대말
가쪽	안측	가쪽001	안측001	명사	3.71	1.05	반대말
가쪽	안통	가쪽001	안통003	명사	3.78	1.16	반대말
가친	자위	가친001	자위014	명사	3.51	1.26	반대말
가친	자친	가친001	자친001	명사	3.37	1.31	반대말
가편	부편	가편003	부편001	명사	3.65	1.11	반대말
가평하다	찬평하다	가평하다001	찬평하다001	동사	3.67	1.14	반대말
가하다	감하다	가하다001	감하다003	동사	4.06	1.1	반대말
가학성	피학성	가학성001	피학성001	명사	3.65	1.18	반대말
가학애	피학대성욕도착증	가학애001	피학대성욕도착증001	명사	3.63	1.28	반대말
가학애	피학대음란증	가학애001	피학대음란증001	명사	3.85	1.1	반대말
가학애	피학성애	가학애001	피학성애001	명사	3.63	1.12	반대말
가학애	피학애	가학애001	피학애001	명사	3.79	1.11	반대말
가학애	피학증	가학애001	피학증001	명사	3.73	1.22	반대말
가학증	피학대성욕도착증	가학증001	피학대성욕도착증001	명사	3.47	1.28	반대말
가학증	피학대음란증	가학증001	피학대음란증001	명사	3.6	1.23	반대말
가학증	피학성애	가학증001	피학성애001	명사	3.72	1.19	반대말
가학증	피학애	가학증001	피학애001	명사	3.69	1.24	반대말
가학증	피학증	가학증001	피학증001	명사	3.88	1.09	반대말
가해하다	피해하다	가해하다001	피해하다001	동사	3.95	1.2	반대말
가화	생화	가화004	생화004	명사	3.83	1.17	반대말
가획	감획	가획001	감획001	명사	3.89	1.16	반대말
가후	가전	가후001	가전011	명사	3.67	1.16	반대말
가후	가전군	가후001	가전군001	명사	3.5	1.25	반대말
각내	각외	각내001	각외001	명사	3.98	1.04	반대말
각내상	각외상	각내상001	각외상001	명사	3.71	1.14	반대말
각배	한배	각배001	한배001	명사	3.54	1.23	반대말
각실하다	불성하다	각실하다001	불성하다002	형용사	3.85	1.12	반대말
각실하다	불충실하다	각실하다001	불충실하다002	형용사	3.76	1.15	반대말
각운	두운	각운001	두운002	명사	3.62	1.21	반대말
각운	머리운	각운001	머리운001	명사	3.61	1.14	반대말
각장	부장	각장001	부장002	명사	3.65	1.2	반대말
각장	부폄	각장001	부폄001	명사	3.52	1.21	반대말
각장하다	부장하다	각장하다001	부장하다002	동사	3.68	1.22	반대말
각장하다	합부하다	각장하다001	합부하다001	동사	3.58	1.18	반대말
각장하다	합장하다	각장하다001	합장하다002	동사	3.9	1.07	반대말
각피	내각	각피002	내각004	명사	3.74	1.22	반대말
각피	속껍데기	각피002	속껍데기001	명사	3.9	1.11	반대말
각필하다	기필하다	각필하다001	기필하다001	동사	3.68	1.09	반대말
간결체	만연체	간결체001	만연체001	명사	3.83	1.13	반대말
간고등어	생고등어	간고등어001	생고등어001	명사	3.75	1.22	반대말
간단반응	복잡반응	간단반응001	복잡반응001	명사	3.83	1.09	반대말
간단반응	복합반응	간단반응001	복합반응001	명사	3.83	1.14	반대말
간류	지류	간류001	지류001	명사	3.73	1.12	반대말
간류	지천	간류001	지천002	명사	3.49	1.26	반대말
간물때	만조	간물때001	만조005	명사	3.98	1.06	반대말
간물때	찬물때	간물때001	찬물때001	명사	3.77	1.19	반대말
간부	밀부	간부004	밀부002	명사	3.43	1.3	반대말
간선	지선	간선004	지선001	명사	3.79	1.12	반대말
간선제	직선제	간선제001	직선제001	명사	3.91	1.12	반대말
간세	직세	간세007	직세001	명사	3.55	1.17	반대말
간음	사이음	간음005	사이음001	명사	3.34	1.28	반대말
간음	파생음	간음005	파생음001	명사	3.43	1.24	반대말
간장남	간장녀	간장남001	간장녀001	명사	3.65	1.3	반대말
간접	직접	간접001	직접001	명사	4.1	1.03	반대말
간접법	직접화법	간접법001	직접화법002	명사	3.88	1.1	반대말
간접세	직세	간접세001	직세001	명사	3.9	1.14	반대말
간접세	직접세	간접세001	직접세001	명사	3.95	1.17	반대말
간접음	직접음	간접음001	직접음001	명사	4.02	1.04	반대말
간접환	직접환	간접환001	직접환001	명사	4	1.04	반대말
간조	고조	간조001	고조017	명사	3.48	1.27	반대말
간조	만조	간조001	만조005	명사	4.07	0.96	반대말
간조	찬물때	간조001	찬물때001	명사	3.6	1.21	반대말
갈래꽃	통꽃	갈래꽃001	통꽃001	명사	3.65	1.2	반대말
갈래꽃	합판화	갈래꽃001	합판화001	명사	3.05	1.39	반대말
갈래꽃류	통꽃류	갈래꽃류001	통꽃류001	명사	3.58	1.21	반대말
갈래꽃류	합판화류	갈래꽃류001	합판화류001	명사	3.41	1.18	반대말
갈래꽃받침	통꽃받침	갈래꽃받침001	통꽃받침001	명사	3.76	1.15	반대말
갈래꽃받침	합판꽃받침	갈래꽃받침001	합판꽃받침001	명사	3.71	1.24	반대말
갈래꽃받침	합판화악	갈래꽃받침001	합판화악001	명사	3.7	1.16	반대말
갈래꽃부리	통꽃부리	갈래꽃부리001	통꽃부리001	명사	3.46	1.27	반대말
갈래꽃부리	합판화관	갈래꽃부리001	합판화관001	명사	3.33	1.22	반대말
갈비	뚱땡이	갈비002	뚱땡이001	명사	3.77	1.19	반대말
갈비	뚱뚱	갈비002	뚱뚱001	명사	3.66	1.33	반대말
갈비	뚱뚱보	갈비002	뚱뚱보001	명사	3.69	1.22	반대말
갈비	뚱뚱이	갈비002	뚱뚱이001	명사	3.75	1.17	반대말
갈비	뚱보	갈비002	뚱보002	명사	3.68	1.26	반대말
갈비씨	뚱땡이	갈비씨001	뚱땡이001	명사	3.85	1.19	반대말
갈수	풍수	갈수001	풍수005	명사	3.88	1.17	반대말
갈수기	풍수기	갈수기001	풍수기001	명사	3.69	1.14	반대말
갈수량	풍수량	갈수량001	풍수량001	명사	3.67	1.19	반대말
감각계	가상계	감각계001	가상계001	명사	3.83	1.16	반대말
감각계	예지계	감각계001	예지계001	명사	3.56	1.14	반대말
감각계	예지세계	감각계001	예지세계001	명사	3.57	1.15	반대말
감각계	예지적세계	감각계001	예지적세계001	명사	3.56	1.27	반대말
감각계	오성계	감각계001	오성계001	명사	3.72	1.17	반대말
감결	가결	감결003	가결003	명사	3.75	1.1	반대말
감군	증군	감군001	증군001	명사	4.02	1.1	반대말
감급	가급	감급001	가급001	명사	3.87	1.11	반대말
감다	뜨다	감다001	뜨다021	동사	4	1.11	반대말
감량하다	증량하다	감량하다001	증량하다001	동사	4.24	0.93	반대말
감물	참	감물002	참008	명사	3.7	1.24	반대말
감물	참물	감물002	참물001	명사	3.85	1.06	반대말
감미	쓴맛	감미001	쓴맛001	명사	3.48	1.28	반대말
감봉	증봉	감봉001	증봉001	명사	3.94	1.16	반대말
감봉	증질	감봉001	증질001	명사	3.69	1.19	반대말
감봉하다	증질하다	감봉하다001	증질하다001	동사	3.36	1.23	반대말
감산	가계	감산005	가계002	명사	3.85	1.18	반대말
감산하다	증산하다	감산하다002	증산하다003	동사	4.03	1.03	반대말
감선	가선	감선001	가선005	명사	3.72	1.17	반대말
감성계	가상계	감성계001	가상계001	명사	3.67	1.09	반대말
감성계	예지계	감성계001	예지계001	명사	3.55	1.23	반대말
감성계	예지세계	감성계001	예지세계001	명사	3.77	1.07	반대말
감성계	예지적세계	감성계001	예지적세계001	명사	3.5	1.18	반대말
감성계	오성계	감성계001	오성계001	명사	3.61	1.21	반대말
감세	증세	감세002	증세003	명사	4.09	1.06	반대말
감세하다	복상하다	감세하다001	복상하다002	동사	3.89	1.11	반대말
감세하다	증세하다	감세하다001	증세하다001	동사	4.03	1.05	반대말
감세하다	증세하다	감세하다002	증세하다002	동사	4.15	1.04	반대말
감소	증다	감소001	증다001	명사	3.84	1.09	반대말
감소	증첨	감소001	증첨001	명사	3.81	1.13	반대말
감소되다	증가되다	감소되다001	증가되다001	동사	4.01	1.12	반대말
감소되다	증첨되다	감소되다001	증첨되다001	동사	3.97	1.02	반대말
감소세	증가세	감소세001	증가세002	명사	4.22	0.94	반대말
감소수열	증가수열	감소수열001	증가수열001	명사	3.98	1.05	반대말
감소수열	증가열	감소수열001	증가열001	명사	3.83	1.09	반대말
감소수열	증가하는수열	감소수열001	증가하는수열001	명사	3.92	1.04	반대말
감소하다	증다하다	감소하다001	증다하다001	동사	3.75	1.1	반대말
감소함수	증가함수	감소함수001	증가함수001	명사	4.02	1.08	반대말
감수	증수	감수006	증수001	명사	3.77	1.13	반대말
감수	증수	감수007	증수002	명사	3.99	1.08	반대말
감수	가수	감수009	가수002	명사	3.79	1.21	반대말
감수되다	증수되다	감수되다003	증수되다001	동사	3.96	1.09	반대말
감압	가압	감압001	가압002	명사	3.83	1.15	반대말
감액하다	증액하다	감액하다001	증액하다001	동사	4.19	0.97	반대말
감언	고어	감언001	고어002	명사	3.5	1.17	반대말
감원되다	증원되다	감원되다001	증원되다001	동사	4.23	0.98	반대말
감원하다	증원하다	감원하다001	증원하다001	동사	4.17	1.02	반대말
감익되다	증익되다	감익되다001	증익되다002	동사	3.98	1.11	반대말
감익하다	증익하다	감익하다001	증익하다002	동사	3.87	1.09	반대말
감자	자본증가	감자006	자본증가001	명사	3.51	1.15	반대말
감자	증자	감자006	증자004	명사	3.8	1.17	반대말
감조하다	증세하다	감조하다001	증세하다001	동사	3.89	1.04	반대말
감지	고미	감지002	고미004	명사	3.85	1.08	반대말
감지	쓴맛	감지002	쓴맛001	명사	3.83	1.15	반대말
감퇴되다	증진되다	감퇴되다001	증진되다001	동사	4.02	1.1	반대말
감편	증편	감편003	증편002	명사	4.15	0.95	반대말
감편하다	증편하다	감편하다001	증편하다001	동사	3.98	1.09	반대말
감표	가표	감표001	가표001	명사	3.77	1.16	반대말
감표	가호	감표001	가호001	명사	3.94	1.05	반대말
감하다	늘다	감하다002	늘다001	동사	3.98	1.11	반대말
감획하다	가획하다	감획하다001	가획하다001	동사	3.89	1.09	반대말
값싸다	값비싸다	값싸다001	값비싸다001	형용사	4.29	0.91	반대말
강겨자	연겨자	강겨자001	연겨자001	명사	3.64	1.18	반대말
강골	약골	강골003	약골001	명사	4.14	1.03	반대말
강교점	승교점	강교점001	승교점001	명사	3.76	1.16	반대말
강구	약적	강구008	약적001	명사	3.89	1.05	반대말
강급	승급	강급001	승급001	명사	3.8	1.18	반대말
강기	약기	강기006	약기003	명사	3.65	1.15	반대말
강기	여린내기	강기006	여린내기001	명사	3.54	1.23	반대말
강남	강북	강남001	강북001	명사	3.75	1.24	반대말
강남	강북	강남002	강북002	명사	3.88	1.1	반대말
강남	강북	강남004	강북003	명사	3.87	1.01	반대말
강년	황년	강년001	황년001	명사	3.78	1.17	반대말
강년	황세	강년001	황세001	명사	3.77	1.15	반대말
강대국	소약국	강대국001	소약국001	명사	3.97	1.14	반대말
강대국	약소국	강대국001	약소국001	명사	4.13	1.04	반대말
강대국	약소국가	강대국001	약소국가001	명사	4.01	1.09	반대말
강대국가	소약국	강대국가001	소약국001	명사	4.04	1.03	반대말
강대국가	약소국	강대국가001	약소국001	명사	3.97	1.07	반대말
강대국가	약소국가	강대국가001	약소국가001	명사	4	0.99	반대말
강등	승진	강등001	승진003	명사	3.96	1.12	반대말
강등권	승격권	강등권001	승격권001	명사	3.91	1.11	반대말
강등제	승격제	강등제001	승격제001	명사	3.8	1.19	반대말
강매	늑매	강매001	늑매002	명사	3.59	1.18	반대말
강매	늑매	강매002	늑매001	명사	3.72	1.23	반대말
강모	연모	강모002	연모004	명사	3.74	1.19	반대말
강보합	약보합	강보합001	약보합001	명사	3.92	1.11	반대말
강보합세	약보합세	강보합세001	약보합세001	명사	3.91	1.1	반대말
강산	약한산	강산003	약한산001	명사	3.71	1.2	반대말
강세장	약세장	강세장001	약세장001	명사	4.26	1	반대말
강신악	송신악	강신악001	송신악001	명사	3.63	1.25	반대말
강압	승압	강압001	승압001	명사	3.91	1.2	반대말
강압기	부스터	강압기001	부스터001	명사	3.69	1.2	반대말
강압기	승압변압기	강압기001	승압변압기001	명사	3.77	1.13	반대말
강압하다	승압하다	강압하다001	승압하다001	동사	3.29	1.32	반대말
강일	쌍일	강일001	쌍일003	명사	3.43	1.24	반대말
강일	유일	강일001	유일004	명사	3.56	1.23	반대말
강자	약자	강자003	약자003	명사	4.13	1.01	반대말
강적	약적	강적001	약적001	명사	3.89	1.07	반대말
강전정	약전정	강전정001	약전정001	명사	3.78	1.19	반대말
강점	약점	강점002	약점001	명사	4.18	1.04	반대말
강조	약조	강조003	약조003	명사	3.89	1.04	반대말
강졸	약병	강졸001	약병001	명사	3.86	1.14	반대말
강졸	약졸	강졸001	약졸001	명사	3.83	1.1	반대말
강주	소음	강주007	소음001	명사	3.76	1.14	반대말
강직	승임	강직002	승임001	명사	3.71	1.25	반대말
강직	승직	강직002	승직001	명사	3.73	1.16	반대말
강직하다	승직하다	강직하다001	승직하다001	동사	3.57	1.3	반대말
강직하다	승천하다	강직하다001	승천하다004	동사	3.46	1.24	반대말
강진계	미동계	강진계002	미동계001	명사	3.67	1.07	반대말
강진계	미진계	강진계002	미진계001	명사	3.8	1.16	반대말
강차하다	승차하다	강차하다001	승차하다002	동사	3.87	1.04	반대말
강팀	약팀	강팀001	약팀001	명사	4.09	1.08	반대말
강판	등판	강판002	등판006	명사	3.74	1.13	반대말
강하다	약하다	강하다003	약하다001	형용사	4.3	0.91	반대말
강행법	임의법	강행법001	임의법001	명사	3.71	1.17	반대말
강행법	임의법규	강행법001	임의법규001	명사	3.77	1.14	반대말
강화되다	약화되다	강화되다001	약화되다001	동사	4.09	0.99	반대말
강화하다	약화하다	강화하다002	약화하다001	동사	4.16	1	반대말
갖은그림씨	불완전형용사	갖은그림씨001	불완전형용사001	명사	3.49	1.26	반대말
갖은그림씨	안갖은그림씨	갖은그림씨001	안갖은그림씨001	명사	3.73	1.13	반대말
갖은그림씨	안옹근그림씨	갖은그림씨001	안옹근그림씨001	명사	3.63	1.1	반대말
갖은남움직씨	불구타동사	갖은남움직씨001	불구타동사001	명사	3.64	1.26	반대말
갖은남움직씨	불완전타동사	갖은남움직씨001	불완전타동사001	명사	3.53	1.24	반대말
갖은남움직씨	안갖은남움직씨	갖은남움직씨001	안갖은남움직씨001	명사	3.92	1.11	반대말
갖은움직씨	불구동사	갖은움직씨001	불구동사001	명사	3.63	1.19	반대말
갖은움직씨	불완전동사	갖은움직씨001	불완전동사001	명사	3.64	1.24	반대말
갖은움직씨	안갖은움직씨	갖은움직씨001	안갖은움직씨001	명사	3.96	1.06	반대말
갖은제움직씨	불구자동사	갖은제움직씨001	불구자동사001	명사	3.62	1.08	반대말
갖은제움직씨	불완전자동사	갖은제움직씨001	불완전자동사001	명사	3.63	1.22	반대말
갖은제움직씨	안갖은제움직씨	갖은제움직씨001	안갖은제움직씨001	명사	3.79	1.04	반대말
갖춘꽃	불완전꽃	갖춘꽃001	불완전꽃001	명사	3.83	1.13	반대말
갖춘꽃	안갖춘꽃	갖춘꽃001	안갖춘꽃001	명사	4.01	0.96	반대말
갖춘마디	불완전소절	갖춘마디001	불완전소절001	명사	3.68	1.16	반대말
갖춘마침	못갖춘마침	갖춘마침001	못갖춘마침001	명사	3.98	1.03	반대말
갖춘마침	불완전종지	갖춘마침001	불완전종지001	명사	3.7	1.05	반대말
갖춘잎	불완전엽	갖춘잎001	불완전엽001	명사	3.94	1.03	반대말
갖춘잎	안갖춘잎	갖춘잎001	안갖춘잎001	명사	3.76	1.14	반대말
같이하다	달리하다	같이하다002	달리하다001	동사	3.99	1.15	반대말
개간	중각	개간002	중각003	명사	3.55	1.25	반대말
개간지	미간지	개간지001	미간지001	명사	3.49	1.28	반대말
개간지	미경지	개간지001	미경지002	명사	3.63	1.11	반대말
개강	종강	개강001	종강001	명사	4.2	0.97	반대말
개강식	종강식	개강식001	종강식001	명사	4.17	1.01	반대말
개강하다	종강하다	개강하다001	종강하다001	동사	4.03	1.06	반대말
개경	결경	개경002	결경001	명사	3.6	1.18	반대말
개관	폐관	개관004	폐관006	명사	4.23	0.95	반대말
개관	폐관	개관005	폐관002	명사	4.17	0.98	반대말
개관되다	폐관되다	개관되다001	폐관되다002	동사	4.06	1.06	반대말
개관되다	폐관되다	개관되다002	폐관되다001	동사	4	0.96	반대말
개교	폐교	개교003	폐교002	명사	4.22	1	반대말
개구	폐구	개구002	폐구001	명사	3.91	1.08	반대말
개구	두구	개구003	두구001	명사	3.72	1.05	반대말
개구	함구	개구003	함구002	명사	3.87	1.12	반대말
개구	함묵	개구003	함묵002	명사	3.62	1.13	반대말
개구간	닫힌구간	개구간001	닫힌구간001	명사	3.78	1.12	반대말
개구간	폐구간	개구간001	폐구간001	명사	4.05	1.09	반대말
개구하다	폐구하다	개구하다002	폐구하다001	동사	3.93	1.04	반대말
개구하다	두구하다	개구하다003	두구하다001	동사	3.67	1.11	반대말
개구하다	함구하다	개구하다003	함구하다002	동사	3.82	1.13	반대말
개구하다	함묵하다	개구하다003	함묵하다002	동사	3.83	1.14	반대말
개구항	폐구항	개구항001	폐구항001	명사	3.98	1.12	반대말
개국	쇄국	개국005	쇄국001	명사	3.93	1.07	반대말
개기	부분식	개기002	부분식001	명사	3.51	1.16	반대말
개기	분식	개기002	분식003	명사	3.77	1.11	반대말
개기식	부분식	개기식001	부분식001	명사	3.63	1.24	반대말
개기식	분식	개기식001	분식003	명사	3.66	1.17	반대말
개노잼	개꿀잼	개노잼002	개꿀잼001	명사	4.1	1.01	반대말
개동	모동	개동001	모동001	명사	3.6	1.25	반대말
개막되다	폐막되다	개막되다001	폐막되다001	동사	4.22	1.01	반대말
개막작	폐막작	개막작001	폐막작001	명사	4.18	0.99	반대말
개먹	진묵	개먹001	진묵001	명사	3.8	1.13	반대말
개먹	진현	개먹001	진현001	명사	3.81	1.17	반대말
개먹	참먹	개먹001	참먹001	명사	3.85	1.15	반대말
개문	엄문	개문001	엄문001	명사	3.84	1.15	반대말
개문	폐문	개문001	폐문002	명사	4.2	0.99	반대말
개문	폐호	개문001	폐호001	명사	3.67	1.21	반대말
개문우부	개문좌부	개문우부001	개문좌부001	명사	3.86	1.12	반대말
개문하다	폐문하다	개문하다001	폐문하다001	동사	4.08	1.03	반대말
개문하다	폐호하다	개문하다001	폐호하다001	동사	4.01	1.02	반대말
개미족	베짱이족	개미족002	베짱이족001	명사	3.95	1.12	반대말
개방	폐방	개방003	폐방002	명사	3.98	1.04	반대말
개방계	닫힌계	개방계001	닫힌계001	명사	3.96	1.06	반대말
개방계	폐쇄계	개방계001	폐쇄계001	명사	3.87	1	반대말
개방되다	폐쇄되다	개방되다001	폐쇄되다001	동사	4.19	0.97	반대말
개방론	폐쇄론	개방론001	폐쇄론001	명사	4.1	1.05	반대말
개방성	폐쇄성	개방성001	폐쇄성001	명사	4.1	1.01	반대말
개방하다	폐방하다	개방하다002	폐방하다002	동사	4.05	1.09	반대말
개방하다	쇄폐하다	개방하다003	쇄폐하다001	동사	3.98	1.08	반대말
개방하다	폐쇄하다	개방하다003	폐쇄하다001	동사	4.26	0.97	반대말
개방형	폐쇄형	개방형001	폐쇄형001	명사	4.21	0.99	반대말
개방형	폐쇄형	개방형001	폐쇄형002	명사	4.12	0.99	반대말
개별검사	집단검사	개별검사001	집단검사001	명사	3.79	1.07	반대말
개봉	함봉	개봉003	함봉001	명사	3.85	0.97	반대말
개봉되다	함봉되다	개봉되다001	함봉되다001	동사	3.92	1.09	반대말
개산	정산	개산004	정산005	명사	3.63	1.22	반대말
개산품	정지품	개산품001	정지품001	명사	3.54	1.23	반대말
개선	개악	개선001	개악001	명사	3.9	1.18	반대말
개선하다	개악하다	개선하다001	개악하다001	동사	3.8	1.24	반대말
개시	폐시	개시004	폐시002	명사	4.09	1.01	반대말
개시기	종료기	개시기001	종료기001	명사	3.93	1.14	반대말
개시일	종료일	개시일001	종료일001	명사	4.13	0.99	반대말
개시하다	폐시하다	개시하다003	폐시하다001	동사	4.04	1.04	반대말
개시하다	종료하다	개시하다009	종료하다001	동사	4.12	1.06	반대말
개식	폐식	개식001	폐식001	명사	3.89	1.08	반대말
개식하다	폐식하다	개식하다001	폐식하다001	동사	4.03	1.09	반대말
개신교도	구교도	개신교도001	구교도001	명사	3.65	1.22	반대말
개악되다	개선되다	개악되다001	개선되다001	동사	3.98	1.09	반대말
개업	폐업	개업002	폐업001	명사	4	0.96	반대말
개업	폐업	개업003	폐업002	명사	4.09	1.03	반대말
개업하다	폐업하다	개업하다001	폐업하다003	동사	4.22	0.93	반대말
개업하다	폐업하다	개업하다003	폐업하다002	동사	4.07	1.12	반대말
개연하다	종연하다	개연하다005	종연하다001	동사	3.78	1.12	반대말
개원	폐원	개원006	폐원001	명사	4.04	1.04	반대말
개원	폐원	개원008	폐원003	명사	4.08	1.03	반대말
개원	폐원	개원009	폐원004	명사	4.11	0.97	반대말
개은	함봉	개은001	함봉001	명사	3.67	1.14	반대말
개인전	단체전	개인전002	단체전001	명사	3.93	1.16	반대말
개인주의	전체주의	개인주의004	전체주의001	명사	4.07	1.1	반대말
개장일	폐장일	개장일001	폐장일001	명사	4.21	0.96	반대말
개장일	폐장일	개장일002	폐장일002	명사	4.07	1.1	반대말
개전	종전	개전004	종전005	명사	4.05	1.07	반대말
개전되다	종전되다	개전되다001	종전되다001	동사	3.86	1.02	반대말
개점하다	폐점하다	개점하다001	폐점하다001	동사	4.25	0.96	반대말
개점하다	폐점하다	개점하다002	폐점하다002	동사	4.27	0.96	반대말
개정	폐정	개정005	폐정001	명사	3.91	1.04	반대말
개정하다	폐정하다	개정하다005	폐정하다001	동사	3.8	1.16	반대말
개진당	사대당	개진당001	사대당002	명사	3.67	1.19	반대말
개진당	사대수구당	개진당001	사대수구당001	명사	3.42	1.15	반대말
개진당	수구당	개진당001	수구당003	명사	3.74	1.19	반대말
개추	모추	개추001	모추002	명사	3.63	1.12	반대말
